Time,root.CNNP.QF.1#.QF1RCP604MP.numvalue
2019-04-20T00:00:19.000+08:00,4.868
2019-04-20T00:00:47.000+08:00,4.879
2019-04-20T00:04:46.000+08:00,4.869
2019-04-20T00:04:52.000+08:00,4.867
2019-04-20T00:07:27.000+08:00,4.877
2019-04-20T00:09:15.000+08:00,4.867
2019-04-20T00:09:24.000+08:00,4.878
2019-04-20T00:11:13.000+08:00,4.869
2019-04-20T00:11:55.000+08:00,4.88
2019-04-20T00:15:25.000+08:00,4.87
2019-04-20T00:17:11.000+08:00,4.867
2019-04-20T00:18:10.000+08:00,4.878
2019-04-20T00:20:09.000+08:00,4.88
2019-04-20T00:20:35.000+08:00,4.87
2019-04-20T00:21:17.000+08:00,4.88
2019-04-20T00:25:21.000+08:00,4.87
2019-04-20T00:25:54.000+08:00,4.88
2019-04-20T00:29:14.000+08:00,4.87
2019-04-20T00:29:33.000+08:00,4.881
2019-04-20T00:52:23.000+08:00,4.871
2019-04-20T00:59:02.000+08:00,4.882
2019-04-20T01:01:29.000+08:00,4.871
2019-04-20T01:02:37.000+08:00,4.881
2019-04-20T01:04:33.000+08:00,4.871
2019-04-20T01:04:34.000+08:00,4.868
2019-04-20T01:04:50.000+08:00,4.879
2019-04-20T01:05:15.000+08:00,4.881
2019-04-20T01:07:55.000+08:00,4.871
2019-04-20T01:08:27.000+08:00,4.881
2019-04-20T01:25:21.000+08:00,4.87
2019-04-20T01:25:43.000+08:00,4.882
2019-04-20T01:27:17.000+08:00,4.87
2019-04-20T01:31:51.000+08:00,4.88
2019-04-20T01:32:00.000+08:00,4.87
2019-04-20T01:33:58.000+08:00,4.88
2019-04-20T01:34:37.000+08:00,4.869
2019-04-20T01:34:51.000+08:00,4.879
2019-04-20T01:36:59.000+08:00,4.881
2019-04-20T01:37:39.000+08:00,4.869
2019-04-20T01:37:50.000+08:00,4.869
2019-04-20T01:38:46.000+08:00,4.879
2019-04-20T01:40:00.000+08:00,4.881
2019-04-20T01:40:07.000+08:00,4.871
2019-04-20T01:43:14.000+08:00,4.882
2019-04-20T01:43:37.000+08:00,4.871
